1	2	3	4	5	6	7
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
158	0	0	0	39	39	39
162	0	-127	0	-1	77	38
167	0	0	0	-1	79	39
195	0	0	0	45	45	45
238	0	95	0	100	13	57
240	118	0	0	43	43	43
237	255	127	0	58	-59	0
233	0	0	0	55	-56	0
232	255	127	0	56	-57	0
233	255	-17	0	0	0	0
227	255	-107	0	-47	46	0
231	255	-127	0	-57	56	0
251	0	-84	0	8	109	58
255	0	0	0	54	66	60
0	0	127	0	119	1	60
255	0	0	0	119	1	60
129	0	127	0	78	-1	39
0	0	0	0	0	0	0
0	0	0	-1	0	0	0
82	0	0	0	-18	-18	-18
219	0	-127	0	-91	-6	-49
247	0	0	0	-118	0	-59
248	0	-127	0	-118	0	-59
248	0	53	0	-59	-59	-59
218	0	118	0	-4	-107	-55
67	0	127	0	0	-31	-15
62	183	0	0	14	-15	0
103	0	127	0	0	-50	-25
173	0	127	0	0	-83	-42
173	164	0	0	39	-44	-2
148	0	0	0	-36	-36	-36
164	0	0	1	37	37	37
155	0	97	0	67	8	38
160	0	0	0	38	38	38
161	0	-68	0	17	59	38
161	0	-87	0	13	64	39
158	121	-127	0	-27	51	12
160	122	0	0	-30	47	9
157	0	-84	0	12	62	37
161	0	46	0	43	34	39
231	0	110	0	101	6	53
255	0	119	0	114	6	60
0	0	127	0	119	1	60
87	0	105	0	46	4	25
0	0	127	0	0	0	0
155	138	0	0	39	-33	3
235	121	127	0	80	-29	25
228	222	127	0	57	-53	2
231	255	127	0	55	-56	0
241	0	127	0	57	-58	0
244	255	0	0	0	0	0
244	255	-89	0	-41	40	0
237	255	-127	0	-58	57	0
240	255	44	0	19	-20	0
233	255	85	0	37	-38	0
232	255	105	0	47	-48	0
233	255	-74	0	-20	19	0
231	0	-4	0	42	67	54
232	0	54	0	55	55	55
231	0	108	0	102	7	54
227	0	109	0	100	7	53
231	0	0	-1	-55	-55	-55
227	0	-127	0	-107	-2	-54
228	0	0	0	-110	0	-55
228	0	-127	0	-109	0	-54
226	0	7	0	-54	-54	-54
226	0	109	0	-7	-100	-54
227	0	100	0	-7	-100	-54
226	0	0	0	-54	-54	-54
224	0	-42	1	53	53	53
223	0	-127	0	-1	107	53
217	0	0	0	31	72	52
215	0	107	0	94	7	51
217	0	0	0	95	7	51
215	0	0	0	51	51	51
218	0	0	0	51	51	51
216	0	-75	-1	-83	-21	-52
213	0	-127	0	-104	0	-52
218	0	0	0	-104	0	-52
217	53	-127	0	-96	9	-44
218	152	-127	0	-68	36	-16
217	151	-127	0	-68	36	-16
215	175	95	0	28	-49	-10
216	172	127	0	40	-64	-12
213	112	0	0	27	-76	-25
213	62	127	0	28	-76	-24
216	0	127	0	0	-104	-52
224	0	0	0	-53	-53	-53
0	0	0	0	0	0	0
12	0	0	0	-1	-1	-1
116	0	0	0	-26	-26	-26
224	0	0	0	-54	-54	-54
255	0	0	0	-61	-61	-61
0	255	0	0	0	0	0
40	78	0	0	0	0	0
0	0	0	0	0	0	0
0	255	0	0	0	0	0
177	0	0	0	-41	-41	-41
0	0	0	0	0	0	0
44	0	0	1	12	12	12
102	0	0	0	22	22	22
145	0	34	0	38	29	33
143	0	98	0	60	7	34
142	0	105	0	60	6	33
141	0	108	0	62	4	33
139	0	0	0	31	31	31
0	0	0	0	0	0	0
76	0	0	-1	-19	-19	-19
106	0	-54	0	-36	-16	-26
119	0	-108	0	-56	-5	-30
155	0	-127	0	-71	0	-35
173	0	-102	0	-81	0	-41
177	0	97	0	-10	-76	-43
179	0	115	0	-10	-77	-44
183	0	127	0	0	-86	-43
188	0	0	0	0	-93	-46
189	0	127	0	0	-90	-45
